,Date,Name,Chicken wings eaten,Notes
I,9/2/2002,N/A,N/A,Inaugural
II,9/1/2003,"Sonya ""Black Widow"" Thomas",134,
III,9/1/2004,,161,Event record
IV,9/3/2005,"Eric ""Badlands"" Booker",137,
V,9/2/2006,Chip Simpson,158,
VI,9/1/2007,"Sonya ""Black Widow"" Thomas",173,Event record
VII,8/30/2008,,165,
VIII,9/6/2009,,169,
IX,9/5/2010,,181,Event record[9]
X,9/4/2011,,183,Event record
XI,9/2/2012,"Joey ""Jaws"" Chestnut",191,Event record[10]
XII,9/1/2013,Miki Sudo,178,
XIII,8/31/2014,"Joey ""Jaws"" Chestnut",192,Event record
XIV,9/6/2015,,205,
XV,9/4/2016,,188,
XVI,9/3/2017,,220,Event record
XVII,9/2/2018,,206,
