"Wing
Bowl",Date,Venue,Winner,Wings,Runner-up,Wings
I,"January 1, 1993",Wyndham Franklin Plaza Hotel,"Carmen ""The Beast From the East"" Cordero",100,,
II,"January 28, 1994",The Main Event,"Kevin ""Heavy Keavy"" O'Donnell",127,,
III,"January 1, 1995",Club Egypt,,133,,
IV,"January 26, 1996",Electric Factory,"Glen ""Fluffmaster"" Garrison",155,,
V,"January 24, 1997",,"Eric ""Gentleman E"" Behl",120,,
VI,"January 30, 1998",Spectrum,"Mark ""Big Rig"" Vogeding",164,,
VII,"January 29, 1999",,"Bill ""El Wingador"" Simmons",113,,
VIII,"January 28, 2000",Wells Fargo Center,"""Tollman Joe"" Paul",90,,
IX,"January 26, 2001",,"Bill ""El Wingador"" Simmons",137,,
X,"February 1, 2002",,,135,,
XI,"January 24, 2003",,,154,"Rich ""The Gavone"" Sica",129
XII,"January 30, 2004",,"Sonya ""The Black Widow"" Thomas",167,"Ed ""Cookie"" Jarvis",153
XIII,"February 4, 2005",,"Bill ""El Wingador"" Simmons",162,"Sonya ""The Black Widow"" Thomas",161
XIV,"February 3, 2006",,Joey Chestnut,173,"Rich ""The Locust"" LeFevre",151
XV,"February 2, 2007",,,182,Patrick Bertoletti,170
XVI,"February 1, 2008",,,241,,227
XVII,"January 30, 2009",,"Jonathan ""Super"" Squibb",203,"""Not Rich""",180
XVIII,"February 5, 2010",,,238,,145
XIX,"February 4, 2011",,,255,"Bill ""El Wingador"" Simmons",254
XX,"February 3, 2012",,Takeru Kobayashi,337,"Jonathan ""Super"" Squibb",271
XXI,"February 1, 2013",,"Jamie ""The Bear"" McDonald",287,,282
XXII,"January 31, 2014",,Molly Schuyler[5],363,Patrick Bertoletti,356
XXIII,"January 30, 2015",,Patrick Bertoletti,444,Molly Schuyler,440
XXIV,"February 5, 2016",,Molly Schuyler,429,Patrick Bertoletti,409
XXV,"February 3, 2017",,"Bob ""Notorious B.O.B."" Shoudt",409,"David T. ""Wings & Things"" Brunelli",386
XXVI,"February 2, 2018",,Molly Schuyler,501,,396
